原页码,菌株名称,DSM编号,提取的编号,WGS_ID,WGS_状态,WGS_文件,16S_ID,16S_状态,16S_文件
2159,Streptomyces marispadix DSM 114036,DSM 114036,DSM 114036,GCF_022524345.1,成功,DSM_Streptomyces marispadix DSM 114036_WGS_GCF_022524345.1.fasta,MW787011,成功,DSM_Streptomyces marispadix DSM 114036_16S_MW787011.fasta
2159,Streptomyces meridianus DSM 114037,DSM 114037,DSM 114037;LMG 32463,GCF_023703325.1,成功,DSM_Streptomyces meridianus DSM 114037_WGS_GCF_023703325.1.fasta,MZ475064,成功,DSM_Streptomyces meridianus DSM 114037_16S_MZ475064.fasta
2159,Vallitalea longa DSM 114058,DSM 114058,NBRC 115488;DSM 114058,GCF_027923465.1,成功,NBRC_Vallitalea longa DSM 114058_WGS_GCF_027923465.1.fasta,LC706476,成功,NBRC_Vallitalea longa DSM 114058_16S_LC706476.fasta
2159,Aeoliella straminimaris DSM 114064,DSM 114064,DSM 114064,GCF_024054565.1,成功,DSM_Aeoliella straminimaris DSM 114064_WGS_GCF_024054565.1.fasta,OM714897,成功,DSM_Aeoliella straminimaris DSM 114064_16S_OM714897.fasta
2159,Rahnella sp. DSM 114072,DSM 114072,DSM 114072,,,,,,
2159,Pleurotus sapidus DSM 114073,DSM 114073,DSM 114073,,,,,,
2159,Promicromonospora iranensis DSM 114076,DSM 114076,DSM 114076,,,,,,
2159,Saccharopolyspora dendranthemae DSM 114082,DSM 114082,DSM 114082,,,,,,
2159,Gordonia metallireducens DSM 114093,DSM 114093,DSM 114093,GCF_021245825.1,成功,DSM_Gordonia metallireducens DSM 114093_WGS_GCF_021245825.1.fasta,OL582960,成功,DSM_Gordonia metallireducens DSM 114093_16S_OL582960.fasta
2159,Sulfitobacter profundi DSM 114101,DSM 114101,NBRC 113428;DSM 114101,GCF_042661425.1,成功,NBRC_Sulfitobacter profundi DSM 114101_WGS_GCF_042661425.1.fasta,NR_165714,成功,NBRC_Sulfitobacter profundi DSM 114101_16S_NR_165714.fasta
2159,Botryosporium longibrachiatum DSM 114104,DSM 114104,DSM 114104,,,,,,
2159,Streptomyces venetus DSM 114111,DSM 114111,DSM 114111,,,,,,
2159,Streptomyces musisoli DSM 114112,DSM 114112,NBRC 113997;DSM 114112,GCF_016741855.1,成功,NBRC_Streptomyces musisoli DSM 114112_WGS_GCF_016741855.1.fasta,NR_179305,成功,NBRC_Streptomyces musisoli DSM 114112_16S_NR_179305.fasta
2159,Brachybacterium atlanticum DSM 114113,DSM 114113,DSM 114113,GCF_025669985.1,成功,DSM_Brachybacterium atlanticum DSM 114113_WGS_GCF_025669985.1.fasta,PV759488,成功,DSM_Brachybacterium atlanticum DSM 114113_16S_PV759488.fasta
2159,Nonomuraea stahlianthi DSM 114115,DSM 114115,NBRC 110006;DSM 114115,,,,LC032126,成功,NBRC_Nonomuraea stahlianthi DSM 114115_16S_LC032126.fasta
2159,Verrucosispora endophytica DSM 114116,DSM 114116,NBRC 112512;DSM 114116,,,,,,
2159,Streptomyces oryzae DSM 114117,DSM 114117,DSM 114117;NBRC 109761,GCF_017676365.1,成功,NBRC_Streptomyces oryzae DSM 114117_WGS_GCF_017676365.1.fasta,NR_146025,成功,NBRC_Streptomyces oryzae DSM 114117_16S_NR_146025.fasta
2159,Streptomyces coffeae DSM 114119,DSM 114119,DSM 114119;NBRC 114295,GCF_016741875.1,成功,NBRC_Streptomyces coffeae DSM 114119_WGS_GCF_016741875.1.fasta,NR_180665,成功,NBRC_Streptomyces coffeae DSM 114119_16S_NR_180665.fasta
2159,Sinisalibacter aestuarii DSM 114148,DSM 114148,DSM 114148;NBRC 115629,GCF_027923545.1,成功,DSM_Sinisalibacter aestuarii DSM 114148_WGS_GCF_027923545.1.fasta,LC715247,成功,DSM_Sinisalibacter aestuarii DSM 114148_16S_LC715247.fasta
2159,Streptomyces acidicola DSM 114153,DSM 114153,NBRC 114304;DSM 114153,GCF_044767865.1,成功,NBRC_Streptomyces acidicola DSM 114153_WGS_GCF_044767865.1.fasta,NR_180724,成功,NBRC_Streptomyces acidicola DSM 114153_16S_NR_180724.fasta
2160,Diddensiella parasantjacobensis DSM 114156,DSM 114156,DSM 114156,,,,,,
2160,Nostoc sp. DSM 114158,DSM 114158,DSM 114158,,,,,,
2160,Leptolyngbya sp. DSM 114157,DSM 114157,DSM 114157,,,,,,
2160,Nostoc sp. DSM 114159,DSM 114159,DSM 114159,GCF_053470285.1,成功,DSM_Nostoc sp. DSM 114159_WGS_GCF_053470285.1.fasta,,,
2160,Nostoc sp. DSM 114160,DSM 114160,DSM 114160,GCF_053470305.1,成功,DSM_Nostoc sp. DSM 114160_WGS_GCF_053470305.1.fasta,,,
2160,Nostoc sp. DSM 114161,DSM 114161,DSM 114161,,,,,,
